x1,x2,y1,y2,y3,y4
0.96091,0.42613,0,1,0,0
0.9567,0.36252,0,1,0,0
0.5064,0.056677,0,0,1,0
0.97755,0.36088,0,1,0,0
0.49868,0.12837,0,0,1,0
0.5036,0.03786,0,0,1,0
0.090267,0.49707,0,0,0,1
0.039305,0.53293,0,0,0,1
0.048526,0.5212,0,0,0,1
0.45743,1,1,0,0,0
0.4375,0.92458,1,0,0,0
0.07397,0.49164,0,0,0,1
0.088542,0.53168,0,0,0,1
0.52819,0.0045916,0,0,1,0
0.056342,0.51691,0,0,0,1
0.45842,0.94118,1,0,0,0
0.057257,0.48862,0,0,0,1
0.46482,0.90426,1,0,0,0
0.11876,0.49313,0,0,0,1
0.067348,0.4664,0,0,0,1
0.42951,0.91943,1,0,0,0
0.49566,0.065059,0,0,1,0
0.43715,0.95194,1,0,0,0
0.45241,0.098947,0,0,1,0
0.45705,0.93382,1,0,0,0
0.4645,0.076433,0,0,1,0
0.45479,0.90937,1,0,0,0
0.037089,0.50753,0,0,0,1
0.98552,0.3999,0,1,0,0
0.45449,0.90914,1,0,0,0
0.94071,0.46973,0,1,0,0
0.44003,0.97384,1,0,0,0
0.4809,0.9557,1,0,0,0
0.48446,0.9285,1,0,0,0
0.48739,0.10445,0,0,1,0
0.4311,0.92964,1,0,0,0
0.44697,0.94689,1,0,0,0
0.49924,0.037416,0,0,1,0
0.46196,0.94802,1,0,0,0
0.47386,0.97335,1,0,0,0
0.50074,0.05837,0,0,1,0
0.97744,0.41114,0,1,0,0
0.080989,0.50981,0,0,0,1
0.49693,0.14709,0,0,1,0
0.49299,0.041005,0,0,1,0
0.047417,0.47241,0,0,0,1
0.95596,0.38144,0,1,0,0
0.11102,0.50018,0,0,0,1
0.43539,0.92253,1,0,0,0
0.50516,0.11637,0,0,1,0
0.079982,0.53557,0,0,0,1
0.92555,0.42254,0,1,0,0
0.47401,0.96623,1,0,0,0
0.92874,0.39706,0,1,0,0
0.95296,0.45978,0,1,0,0
0.94641,0.39245,0,1,0,0
0.035547,0.49918,0,0,0,1
0.48053,0.011073,0,0,1,0
0.47466,0.90549,1,0,0,0
0.073338,0.50449,0,0,0,1
0.44625,0.89907,1,0,0,0
0.051941,0.49907,0,0,0,1
0.48861,0.9012,1,0,0,0
0.97289,0.40847,0,1,0,0
0.47609,0,0,0,1,0
0.49099,0.065956,0,0,1,0
0.9902,0.42364,0,1,0,0
0.46173,0.94433,1,0,0,0
0.50755,0.14048,0,0,1,0
0.49532,0.063721,0,0,1,0
0.0087613,0.58151,0,0,0,1
0.10521,0.52514,0,0,0,1
0.97201,0.39705,0,1,0,0
0.95004,0.44917,0,1,0,0
0.033783,0.52936,0,0,0,1
0.43605,0.95357,1,0,0,0
0.10396,0.54044,0,0,0,1
0.93148,0.42628,0,1,0,0
0.95408,0.41057,0,1,0,0
0.92685,0.4225,0,1,0,0
0.51238,0.031349,0,0,1,0
0.45858,0.9219,1,0,0,0
0.080341,0.47218,0,0,0,1
0.46409,0.09378,0,0,1,0
0.99045,0.40886,0,1,0,0
0.96125,0.40608,0,1,0,0
0.46672,0.93327,1,0,0,0
0.95623,0.46649,0,1,0,0
0.47005,0.047588,0,0,1,0
0.93461,0.41623,0,1,0,0
0.47215,0.11233,0,0,1,0
0.93805,0.47151,0,1,0,0
0.95553,0.39363,0,1,0,0
0.051766,0.53886,0,0,0,1
0.49219,0.10187,0,0,1,0
0.078583,0.50586,0,0,0,1
0.041843,0.4898,0,0,0,1
0.96205,0.36518,0,1,0,0
0.53077,0.075557,0,0,1,0
0.51206,0.018798,0,0,1,0
0.4823,0.94818,1,0,0,0
0.12174,0.44678,0,0,0,1
0.056509,0.51678,0,0,0,1
0,0.53627,0,0,0,1
0.49114,0.97948,1,0,0,0
0.919,0.38777,0,1,0,0
0.45856,0.029829,0,0,1,0
0.5023,0.97286,1,0,0,0
0.94224,0.39616,0,1,0,0
0.040652,0.5226,0,0,0,1
0.92705,0.40653,0,1,0,0
0.093233,0.48486,0,0,0,1
0.48468,0.9167,1,0,0,0
0.93526,0.41661,0,1,0,0
0.49952,0.052323,0,0,1,0
0.52871,0.071261,0,0,1,0
0.057565,0.52278,0,0,0,1
0.46728,0.076181,0,0,1,0
0.4917,0.065982,0,0,1,0
0.9355,0.38921,0,1,0,0
0.055457,0.48665,0,0,0,1
0.4836,0.95028,1,0,0,0
0.42072,0.95923,1,0,0,0
0.48987,0.096233,0,0,1,0
0.065413,0.50817,0,0,0,1
0.45272,0.92764,1,0,0,0
0.45045,0.91307,1,0,0,0
0.51531,0.079925,0,0,1,0
0.49401,0.03076,0,0,1,0
0.98053,0.36574,0,1,0,0
0.48864,0.0071425,0,0,1,0
0.44632,0.94008,1,0,0,0
0.045512,0.57399,0,0,0,1
0.47336,0.94809,1,0,0,0
0.44673,0.98341,1,0,0,0
0.91534,0.38389,0,1,0,0
0.071562,0.4836,0,0,0,1
0.92427,0.42423,0,1,0,0
0.9608,0.42597,0,1,0,0
0.51822,0.052753,0,0,1,0
0.51124,0.079235,0,0,1,0
0.037333,0.50889,0,0,0,1
0.050169,0.50872,0,0,0,1
0.95216,0.35139,0,1,0,0
0.5182,0.11917,0,0,1,0
0.40651,0.94863,1,0,0,0
0.91364,0.41144,0,1,0,0
0.49552,0.058941,0,0,1,0
0.53764,0.11414,0,0,1,0
0.99409,0.40139,0,1,0,0
0.081664,0.51689,0,0,0,1
1,0.39358,0,1,0,0
0.057048,0.52064,0,0,0,1
0.027175,0.53508,0,0,0,1
0.4809,0.91329,1,0,0,0
0.96545,0.41108,0,1,0,0
0.5194,0.076121,0,0,1,0
0.91522,0.47188,0,1,0,0
0.46304,0.90777,1,0,0,0
0.47085,0.9475,1,0,0,0
